date,value
2020-07-28,0
2020-07-27,0
2020-07-26,0
2020-07-25,0
2020-07-24,137.35
2020-07-23,80.938
2020-07-22,190.909
2020-07-21,201.053
2020-07-20,58.562
2020-07-19,127.39
2020-07-18,174.884
2020-07-17,60.505
2020-07-16,140.132
2020-07-15,39.379
2020-07-14,41.75
