start,duration,value
2020-07-16T10:31:00+02:00,[60],[6]
2020-07-16T11:20:00+02:00,[60],[0]
2020-07-16T11:53:00+02:00,[60],[0]
2020-07-16T12:05:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[6,43,95,61,16,93,93,70,43,46]"
2020-07-16T12:22:00+02:00,"[60,60,60]","[35,54,16]"
2020-07-16T13:17:00+02:00,[60],[7]
2020-07-16T13:24:00+02:00,"[60,60]","[11,7]"
2020-07-16T13:29:00+02:00,[60],[21]
2020-07-16T13:44:00+02:00,[60],[6]
2020-07-16T13:54:00+02:00,"[60,60,60]","[13,79,13]"
2020-07-16T13:59:00+02:00,"[61,59]","[37,14]"
2020-07-16T14:03:00+02:00,[60],[10]
2020-07-16T14:08:00+02:00,[60],[0]
2020-07-16T14:29:00+02:00,[60],[18]
2020-07-16T14:31:00+02:00,[60],[6]
2020-07-16T14:36:00+02:00,[60],[6]
2020-07-16T15:35:00+02:00,[60],[6]
2020-07-16T15:39:00+02:00,[60],[10]
2020-07-16T15:49:00+02:00,[60],[11]
2020-07-16T15:57:00+02:00,[60],[0]
2020-07-16T16:07:00+02:00,[60],[0]
2020-07-16T16:18:00+02:00,"[60,60]","[0,6]"
2020-07-16T16:22:00+02:00,[60],[6]
2020-07-16T16:28:00+02:00,[60],[11]
2020-07-16T16:32:00+02:00,"[60,61]","[10,15]"
2020-07-16T17:06:00+02:00,[60],[6]
2020-07-16T17:09:00+02:00,[60],[21]
2020-07-16T17:31:00+02:00,"[60,60]","[8,12]"
2020-07-16T17:59:00+02:00,[60],[0]
2020-07-16T18:04:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[49,39,79,25,0,50,112,80,26,0,41,10,16,42,50]"
2020-07-16T18:19:00+02:00,[60],[6]
2020-07-16T18:21:00+02:00,"[60,60,60,60]","[8,25,34,35]"
2020-07-16T18:27:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[80,58,61,59,13,0,0,10,43,17,47,6,15,0,15,0,0,0,20,14,27,48]"
2020-07-16T18:51:00+02:00,[60],[9]
2020-07-16T18:56:00+02:00,"[60,60,60]","[24,27,7]"
2020-07-16T19:00:00+02:00,"[60,60,60,60,60,60,60]","[0,0,13,0,27,81,37]"
2020-07-16T19:08:00+02:00,[60],[8]
2020-07-16T19:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[65,54,18,6,16,45,13,0,90,89,106,63,74,22,82,67,33]"
2020-07-16T19:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[51,75,125,122,125,11,7,11,0,6,20,0,7,10]"
2020-07-16T19:50:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,21,26,29,23,34,9,59,36,65,35,15,19,0]"
2020-07-16T20:13:00+02:00,[60],[15]
2020-07-16T20:30:00+02:00,[60],[7]
2020-07-16T20:57:00+02:00,"[60,60,60,60]","[20,17,23,44]"
2020-07-16T21:01:00+02:00,"[60,60]","[37,55]"
2020-07-16T21:04:00+02:00,[60],[14]
2020-07-16T21:06:00+02:00,"[60,60,60]","[0,0,11]"
2020-07-16T21:10:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,14,3,16,0,11]"
2020-07-16T21:23:00+02:00,"[60,60]","[36,16]"
2020-07-16T21:28:00+02:00,[60],[16]
2020-07-16T21:34:00+02:00,"[60,60,60]","[11,55,10]"
2020-07-16T21:44:00+02:00,"[60,60]","[39,4]"
2020-07-16T21:47:00+02:00,"[60,60]","[8,15]"
2020-07-16T21:50:00+02:00,[60],[10]
2020-07-16T22:04:00+02:00,[60],[7]
2020-07-16T22:07:00+02:00,"[60,60,60]","[27,19,20]"
2020-07-16T22:24:00+02:00,"[60,60]","[13,22]"
