date,value
2020-07-28,0
2020-07-27,0
2020-07-26,0
2020-07-25,0
2020-07-24,5528.499
2020-07-23,3265.101
2020-07-22,7675.569
2020-07-21,8091.799
2020-07-20,2357.13
2020-07-19,5118.831
2020-07-18,7041.693
2020-07-17,2438.01
2020-07-16,5615.728
2020-07-15,1569.26
2020-07-14,1633.35
