start,duration,value
2020-07-16T08:26:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[20.75,20.35,25.95,11.46,31.44,38.14,65.3,53.35,53.09,0,7.24,14.83]"
2020-07-16T08:39:00+02:00,[60],[11.72]
2020-07-16T08:50:00+02:00,[60],[11.96]
2020-07-16T08:52:00+02:00,[60],[4.26]
2020-07-16T08:54:00+02:00,"[60,60]","[7.52,12.74]"
2020-07-16T08:59:00+02:00,[60],[20.09]
2020-07-16T09:02:00+02:00,"[60,60]","[4.1,4.9]"
2020-07-16T09:24:00+02:00,[60],[0]
2020-07-16T09:29:00+02:00,[60],[5.35]
2020-07-16T09:32:00+02:00,"[60,60]","[7.62,3.31]"
2020-07-16T09:38:00+02:00,"[60,60]","[48.33,12.95]"
2020-07-16T09:41:00+02:00,"[60,60,60]","[0,19.27,29.32]"
2020-07-16T10:31:00+02:00,[60],[5.1]
2020-07-16T11:20:00+02:00,[60],[0]
2020-07-16T11:53:00+02:00,[60],[0]
2020-07-16T12:05:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[4.3,33.58,71.87,45.43,10.53,69.79,66.61,47.22,30.94,34.43]"
2020-07-16T12:22:00+02:00,"[60,60,60]","[25.9,36.95,12.2]"
2020-07-16T13:17:00+02:00,[60],[5.11]
2020-07-16T13:24:00+02:00,"[60,60]","[8.24,4.5]"
2020-07-16T13:29:00+02:00,[60],[14.83]
2020-07-16T13:44:00+02:00,[60],[4.74]
2020-07-16T13:54:00+02:00,"[60,60,60]","[9.04,58.7,9.16]"
2020-07-16T13:59:00+02:00,"[61,59]","[23.46,9.8]"
2020-07-16T14:03:00+02:00,[60],[7.42]
2020-07-16T14:08:00+02:00,[60],[0]
2020-07-16T14:29:00+02:00,[60],[13.26]
2020-07-16T14:31:00+02:00,[60],[4.97]
2020-07-16T14:36:00+02:00,[60],[4.43]
2020-07-16T15:35:00+02:00,[60],[3.64]
2020-07-16T15:39:00+02:00,[60],[8.22]
2020-07-16T15:49:00+02:00,[60],[9.5]
2020-07-16T15:57:00+02:00,[60],[0]
2020-07-16T16:07:00+02:00,[60],[0]
2020-07-16T16:18:00+02:00,"[60,60]","[0,4.63]"
2020-07-16T16:22:00+02:00,[60],[4.1]
2020-07-16T16:28:00+02:00,[60],[7.33]
2020-07-16T16:32:00+02:00,"[60,61]","[7.15,11.53]"
2020-07-16T17:06:00+02:00,[60],[4.3]
